FAQ_56	7	a	대출 문의 를 하 고 싶 은데 재직 기간 6 개월 미만 이 나오 는데 기준 이 어떻게 되 나요 ? 입사 일 상 으론 6 개월 이 넘 었 거든요 .
FAQ_6482	5	a	원리금 균등 상환 이 면 대출 기간 동안 계속 같 은 금액 을 납부 하 면 되 는 건가요 ?
FAQ_10143	11	a	제 계좌 에 다른 분 이 송금 을 하 려고 하 니 송금 이 안 된다고 하 셔서 요 적금 계좌 는 다른 분 이 입금 하 실 수 가 없 는 건가요 ?
FAQ_6101	40	a	신분증 인증 을 하 는데 날짜 랑 주민 번호 다 나오 게 해도 자꾸 실패 한다고 뜨 네요
AWxBfqzJIMO_pNto2I7o	25	a	카드 결제 취소 확인 바랍니다 .
AXAezWujIMO_pNto3uni	58	a	개인 정보 는 수정 이 되 어 있 는데 카드 는 안 되 어 있 는 거 같 던데 어디 서 수정 하 나요
FAQ_7591	5	a	쇼핑 머니 대출 해 지 하 고 싶 은데요 해지 가능 한가요 ?
AWxFvFZhIMO_pNto2Jj7	8	a	대출 이 자 연체 가 됐 다고 하 는데 지금 납부 하 면 연체 기록 남 는지 확인 할 수 있 을까요 ?
AW1mB93ye7lq771gf94k	18	a	계좌 추가 개설 하 면 계좌 별 체크카드 쓸 수 있 나요
FAQ_7272	7	a	비상금 마이너스 통장 대출 좀 받 을라고 하 는데 안 되 네요 신용 도 4 등급 인데 왜 안 되 나요 ?
FAQ_2761	48	a	거래 목적 을 변경 하 고 싶 습니다
FAQ_11427	7	a	슬림 K 심사 거절 사유 알려 주 세요
FAQ_7458	3	a	비상금 대출 을 하 고 싶 어요
AWxgP7CLIMO_pNto2Nm3	11	a	오늘 잔액 이 부족 하 여 적금 자동 이 체가 되 지 않 았 는대 지금 제 가 입금 하 면 이중 출금 이 되 는 건가요 ?
FAQ_3772	55	a	체크카드 를 다른 가족 명의 로 발급 을 받 았 는데 내명 의 핸드폰 어 플 에서 는 로그인 할 수 없 나요
FAQ_5754	32	a	자동 이 체 인출 가능 금액 을 어떻게 늘리 나요
FAQ_2495	16	a	계좌 개설 했 다고 안내장 이 발송 되 나요 ?
FAQ_10970	50	a	""" 정기 예금 을 신청 하 려고 하 는데 , 타 은행 에서 제 k 뱅크 계좌 로 이체 한 다음 신청 해야 하 는 건가요 ? """
FAQ_11716	59	a	마케팅 전화 수신 거부 요청 드립니다
FAQ_9947	13	a	정기예금 부분 인출 하 려고 하 는데요 제한 금액 이 있 나요 ?
FAQ_7592	5	a	쇼핑 머니 대출 해 지 가능 한가요
FAQ_11050	24	a	제 가 카드 발급 시 모바일 신청 했 나요 ?
FAQ_11274	11	a	코드 자유 적금 을 다른 은행 에서 직접 입금 해도 되 는지 문 의 드립니다
FAQ_972	5	a	슬림 K 상환 방식 알려 주 세요
FAQ_12173	14	a	듀얼 케이 입출금 통장 에 남길 금액 을 설정 하 면 남길 금액 에 따른 이자 는 언제 입금 되 나요 ?
FAQ_9384	13	a	오늘 부 로 정기 적금 이 끝나 서 돈 이 입금 됐 어요 입금 내용 이 자 세금 확인 하 고 싶 은데
AXAOqMYYIMO_pNto3q7B	40	a	신분증 다시 제출 어떻게 하 지요 ?
FAQ_7409	3	a	비상금 마이너스 통장 이 자 납 부액 이 궁금 합니다
FAQ_10641	27	a	""" 케이 뱅크 X KT 멤버십 더블 혜택 체크카드 전월 실적 계산 시 전기세 , 가스 세 포함 여부 가 궁금 해요 """
FAQ_7306	7	a	비상금 마이너스 통장 내부 심사 뭐 가 충족 하 지 못한 건가요
AXGl4_I0e7lq771ghx7S	32	a	체크카드 에 통신비 자동 이 체한 거 해 지 어떻게 하 나요 ?
FAQ_3651	20	a	케이 뱅크 체크카드 후불 교통 카드 로 쓸 수 있 나요 ?
AW3YN3Dje7lq771ggLs9	40	a	신분증 인식 이 안 되 어 재 촬영 을 해야 하 는데 어떻게 할 수 있 나요 ?
FAQ_1315	32	a	통신 요금 결제 자동 이 체 가능 한가요 ?
AXHpHsNyIMO_pNto4mcn	8	a	사업자 입니다 . 연체 있 으면 대출 불가 한가요 ?
FAQ_6303	25	a	카드 취소 후 환불 금액 언제 들어오 나요
FAQ_4515	18	a	체크카드 반송 되 서 다시 신청 하 려구요
FAQ_5865	20	a	교통카드 기능 이용 하 고 싶 어요
FAQ_1135	5	a	만기 일시 상환 방식 은 상환 어떻게 하 나요 ?
FAQ_10125	34	a	입금 하 려는데 수수료 를 무료 로 할 수 있 는 방법 이 있 나요 ?
FAQ_7998	21	a	에 어 비앤비 카드 등록 을 하 려고 하 는데 사용 을 승인 할 수 없 다고 계속 뜨 네요 카드 번호 랑 은 재차 확인 했 구요
FAQ_1855	14	a	거래 내역 을 엑 셀 로 어떻게 받 을 수 있 을까요 ?
FAQ_11733	3	a	대 출신 청시 타행 상환 조건 으로 한도 산정 이 되 나요 ?
AWxMTgHOIMO_pNto2LAT	32	a	오늘 이 빠져나가 는 날 이 었 는데 실수 로 돈 을 덜 넣 어서 일부 만 결제 된 상황 인데 내일 부터 교통카드 사용 을 못 하 나요 ?
FAQ_6626	13	a	정기예금 에 부분 인출 이 2 회 라고 햇 는데 만기 까지 2 회 인가요 ? 한 달 에 2 회 인가요 ?
FAQ_8165	7	a	쇼핑 머니 대출 안 되 는 사유 알려 주 세요 .
FAQ_6743	10	a	적금 금리 요 통신비 자동 이체 하 는데 왜 조건 에서 n 으로 표시 되 나요
FAQ_3967	23	a	지갑 을 잃어버려서 카드 도 잃어버렸 어요 .
FAQ_6773	3	a	쇼핑 머니 대출 조건
